time,REE_open,REE_high,REE_low,REE_close,REE_volume,FMC_open,FMC_high,FMC_low,FMC_close,FMC_volume,DHC_open,DHC_high,DHC_low,DHC_close,DHC_volume
2024-06-06,61.75,62.34,61.16,61.16,565629,50.8,51.8,50.8,51.2,42102,41.78,41.97,41.3,41.78,501430
2024-06-07,61.26,61.75,60.66,61.16,460634,51.2,51.2,50.7,51.0,37919,41.59,41.87,41.06,41.68,378733
2024-06-10,61.26,62.44,61.16,61.35,644881,51.4,51.8,50.7,51.5,92074,41.68,41.78,40.81,41.1,388533
2024-06-11,61.85,62.44,61.16,61.16,611624,51.6,51.7,51.4,51.6,35327,41.1,41.29,40.18,40.32,521827
2024-06-12,61.45,62.64,61.16,62.64,1322762,51.9,51.9,51.3,51.3,53811,40.32,40.76,39.25,40.71,625938
2024-06-13,64.02,64.02,62.83,63.13,898465,51.3,52.3,51.3,52.0,46473,40.71,40.81,39.84,40.76,407394
2024-06-14,63.23,63.33,60.66,60.66,1217305,52.0,52.5,50.7,51.9,63820,40.37,40.81,40.03,40.22,314818
2024-06-17,60.66,61.65,60.56,60.76,819150,51.1,52.0,51.1,51.4,33513,40.56,40.56,39.54,39.74,262104
2024-06-18,60.86,62.93,60.76,62.64,900479,51.4,52.0,51.0,51.4,52713,39.84,40.52,39.84,40.13,216991
2024-06-19,62.54,62.83,61.85,62.83,672971,51.9,52.5,51.4,51.7,72109,40.13,41.49,40.08,41.29,736917
2024-06-20,62.64,65.69,62.64,64.81,1600113,51.7,52.0,50.9,50.9,66404,41.49,41.49,40.76,41.05,223257
2024-06-21,65.99,65.99,63.62,63.62,938085,50.8,50.8,50.0,50.2,61210,41.54,41.54,41.05,41.2,474472
2024-06-24,63.72,64.31,61.16,62.74,1144846,50.2,50.2,49.0,49.25,80327,41.2,41.2,39.2,39.2,489815
2024-06-25,62.74,64.61,62.74,63.23,766216,49.25,49.35,49.0,49.3,17051,39.16,39.4,38.86,39.4,183857
2024-06-26,63.92,63.92,62.04,63.13,973589,49.3,49.75,49.2,49.5,17603,39.69,39.69,38.72,38.91,175858
2024-06-27,63.13,64.02,62.34,63.13,806900,49.5,49.9,49.0,49.8,23413,38.96,39.35,37.89,38.09,455028
2024-06-28,62.64,62.74,61.75,61.75,1165698,49.05,49.75,49.05,49.05,28700,37.99,38.38,37.89,37.99,265152
2024-07-01,61.75,62.74,60.96,62.64,1044666,49.3,49.7,48.0,49.1,54577,37.99,39.06,37.99,39.06,138212
2024-07-02,62.93,62.93,62.14,62.34,905177,49.0,49.55,49.0,49.55,18940,39.2,39.25,38.77,39.06,104441
2024-07-03,62.54,63.13,62.14,63.13,1012861,50.4,50.4,49.55,49.8,23590,39.3,39.35,38.82,39.06,56494
2024-07-04,63.13,64.61,62.83,64.41,1481030,49.8,49.8,49.3,49.8,16766,38.91,39.59,38.86,39.3,128980
2024-07-05,64.91,64.91,63.13,64.31,838116,49.75,50.0,49.5,50.0,34308,39.25,39.59,39.16,39.4,95050
2024-07-08,65.1,65.89,64.71,65.6,1684807,50.0,51.3,50.0,51.2,58229,39.35,39.35,38.77,39.25,268745
2024-07-09,66.09,69.05,64.91,68.55,2165255,50.5,52.2,50.5,52.0,150345,39.25,39.35,38.82,39.25,288777
2024-07-10,69.44,71.32,68.16,70.23,2412860,52.2,52.2,51.6,51.8,19773,39.5,40.32,39.06,39.54,351530
2024-07-11,70.33,72.3,70.03,70.53,1711493,51.9,51.9,51.1,51.2,23900,39.59,40.27,39.59,39.84,294599
2024-07-12,70.23,70.43,69.34,70.13,1140145,51.1,51.2,50.6,51.2,47536,39.93,39.93,38.28,39.25,126328
2024-07-15,70.13,71.32,69.44,71.02,1226928,51.2,51.2,50.4,50.6,22801,39.25,39.69,39.06,39.35,107978
2024-07-16,71.02,72.89,70.53,72.89,1126867,50.5,50.7,50.1,50.4,49240,39.25,39.69,38.91,38.91,286148
2024-07-17,72.99,74.67,68.06,71.22,2125888,50.3,50.5,49.15,49.15,52600,39.06,39.06,37.41,38.57,499157
2024-07-18,71.22,71.61,68.65,71.02,1609329,49.2,49.9,49.2,49.9,30300,38.48,38.57,37.94,38.57,189786
2024-07-19,71.02,71.02,69.34,69.34,930742,49.9,49.9,49.15,49.25,33002,38.57,38.57,37.99,38.33,83457
2024-07-22,69.05,69.34,67.57,67.57,1539493,49.3,49.8,47.0,49.5,41402,37.99,38.38,37.26,37.41,230806
2024-07-23,67.47,69.05,67.17,67.37,1222031,50.5,50.6,48.0,49.15,69106,37.41,37.89,37.41,37.41,144586
2024-07-24,67.08,68.06,65.1,68.06,1138107,49.15,49.15,46.5,49.15,82139,37.31,37.7,36.97,37.5,130356
2024-07-25,67.86,69.84,67.47,69.54,1050377,48.15,49.45,48.15,48.6,5955,37.8,37.8,37.12,37.46,23316
2024-07-26,69.54,70.53,69.44,70.03,1053163,49.65,49.65,48.5,48.9,14900,37.46,37.7,37.41,37.6,41661
2024-07-29,70.43,70.92,69.34,70.53,570790,48.9,48.95,47.95,48.9,18100,37.89,37.94,37.65,37.65,29664
2024-07-30,70.03,70.23,67.57,69.54,2000914,49.0,49.6,48.55,48.85,10900,38.14,38.14,37.7,37.99,52921
