time,REE_close,FMC_close,DHC_close
2024-05-20,57.9,50.5,38.64
2024-05-21,58.39,49.7,38.41
2024-05-22,58.39,50.6,38.83
2024-05-23,60.66,50.7,39.88
2024-05-24,59.97,51.0,38.83
2024-05-27,61.35,52.6,38.55
2024-05-28,62.44,52.0,39.07
2024-05-29,61.16,52.3,39.5
2024-05-30,61.16,51.3,40.26
2024-05-31,61.45,50.5,40.54
2024-06-03,62.14,51.0,40.4
2024-06-04,61.65,51.4,40.45
2024-06-05,61.75,51.2,41.87
2024-06-06,61.16,51.2,41.78
2024-06-07,61.16,51.0,41.68
2024-06-10,61.35,51.5,41.1
2024-06-11,61.16,51.6,40.32
2024-06-12,62.64,51.3,40.71
2024-06-13,63.13,52.0,40.76
2024-06-14,60.66,51.9,40.22
2024-06-17,60.76,51.4,39.74
2024-06-18,62.64,51.4,40.13
2024-06-19,62.83,51.7,41.29
2024-06-20,64.81,50.9,41.05
2024-06-21,63.62,50.2,41.2
2024-06-24,62.74,49.25,39.2
2024-06-25,63.23,49.3,39.4
2024-06-26,63.13,49.5,38.91
2024-06-27,63.13,49.8,38.09
2024-06-28,61.75,49.05,37.99
2024-07-01,62.64,49.1,39.06
2024-07-02,62.34,49.55,39.06
2024-07-03,63.13,49.8,39.06
2024-07-04,64.41,49.8,39.3
2024-07-05,64.31,50.0,39.4
2024-07-08,65.6,51.2,39.25
2024-07-09,68.55,52.0,39.25
2024-07-10,70.23,51.8,39.54
2024-07-11,70.53,51.2,39.84
2024-07-12,70.13,51.2,39.25
2024-07-15,71.02,50.6,39.35
2024-07-16,72.89,50.4,38.91
2024-07-17,71.22,49.15,38.57
2024-07-18,71.02,49.9,38.57
2024-07-19,69.34,49.25,38.33
2024-07-22,67.57,49.5,37.41
2024-07-23,67.37,49.15,37.41
2024-07-24,68.06,49.15,37.5
2024-07-25,69.54,48.6,37.46
2024-07-26,70.03,48.9,37.6
2024-07-29,70.53,48.9,37.65
2024-07-30,69.54,48.85,37.99
2024-07-31,68.65,48.9,37.99
2024-08-01,66.98,48.45,37.5
2024-08-02,69.34,48.95,37.12
2024-08-05,64.51,47.05,36.19
2024-08-06,65.79,47.1,35.56
2024-08-07,64.91,46.75,35.75
2024-08-08,65.4,47.0,35.85
2024-08-09,66.09,47.55,36.34
2024-08-12,67.96,47.55,36.87
2024-08-13,66.88,47.65,36.92
2024-08-14,68.06,47.75,36.92
2024-08-15,66.58,47.05,36.92
2024-08-16,68.95,47.7,37.36
2024-08-19,69.34,48.25,37.41
2024-08-20,68.95,48.1,37.36
2024-08-21,69.15,48.05,37.41
2024-08-22,68.75,48.1,37.36
2024-08-23,69.64,48.05,37.31
2024-08-26,69.05,48.05,37.21
2024-08-27,67.67,48.5,37.07
2024-08-28,67.67,48.5,37.02
2024-08-29,68.06,48.1,37.02
2024-08-30,67.67,48.15,36.97
2024-09-04,66.09,48.1,36.44
2024-09-05,64.41,47.9,36.0
2024-09-06,64.71,47.0,35.95
2024-09-09,65.2,46.7,36.34
2024-09-10,64.12,46.75,35.85
2024-09-11,64.21,46.3,36.14
2024-09-12,64.81,46.5,36.05
2024-09-13,64.81,46.45,36.05
2024-09-16,63.82,46.5,35.9
2024-09-17,64.02,46.7,35.95
2024-09-18,64.91,46.5,36.09
2024-09-19,65.2,46.8,36.53
2024-09-20,65.69,47.0,36.53
2024-09-23,65.79,47.0,36.44
2024-09-24,65.69,47.05,36.39
2024-09-25,66.58,47.1,36.24
2024-09-26,66.48,47.0,36.19
2024-09-27,65.79,47.0,36.19
2024-09-30,65.69,47.05,36.09
2024-10-01,65.79,46.9,36.53
2024-10-02,66.48,46.75,36.24
2024-10-03,65.89,46.5,36.44
2024-10-04,65.4,46.35,36.24
2024-10-07,64.91,46.5,36.19
2024-10-08,64.71,47.25,36.14
2024-10-09,64.71,47.25,36.19
2024-10-10,64.61,47.45,36.14
2024-10-11,64.71,47.65,36.0
2024-10-14,65.0,48.1,36.0
2024-10-15,64.31,48.0,35.8
2024-10-16,64.02,48.2,35.71
2024-10-17,64.02,48.0,35.56
2024-10-18,63.92,48.15,35.32
2024-10-21,63.23,47.45,35.56
2024-10-22,62.24,46.4,35.32
2024-10-23,62.44,46.0,35.12
2024-10-24,62.64,45.75,33.13
2024-10-25,62.14,45.9,33.47
2024-10-28,62.44,45.7,33.47
2024-10-29,63.72,45.75,33.71
2024-10-30,64.12,46.1,34.3
2024-10-31,63.23,45.8,34.59
2024-11-01,61.16,45.75,34.1
2024-11-04,63.13,45.5,33.96
2024-11-05,62.74,45.3,34.01
2024-11-06,63.03,45.75,34.49
2024-11-07,63.62,45.65,34.73
2024-11-08,63.72,46.1,34.64
2024-11-11,64.12,46.35,34.39
2024-11-12,64.91,45.85,34.2
2024-11-13,64.51,45.5,33.81
2024-11-14,64.12,46.6,33.62
2024-11-15,64.12,46.2,33.52
2024-11-18,62.83,45.95,33.52
2024-11-19,61.95,45.75,33.47
2024-11-20,62.93,45.6,33.47
2024-11-21,64.12,45.85,33.47
2024-11-22,63.82,46.0,33.57
2024-11-25,65.99,46.1,33.57
2024-11-26,65.79,46.75,33.52
2024-11-27,66.09,46.8,33.52
2024-11-28,66.09,46.8,33.42
2024-11-29,66.29,48.2,33.52
2024-12-02,65.89,48.6,34.69
